theme_tagalog,corpus_sentence_id,corpus_sentence_text,reason
Pagkamapagpatuloy,7434,"Datapwat hindi ako pinakingan ng Alkalde, at sinabi sa aking pag-uusapan na raw namin ang mga bagay na ito pagka tapos ng mga fiesta.",This scene vividly encapsulates the underlying tensions of the theme within the narrative flow.
Pagkamapagpatuloy,7440,"Payapa, ngunit malulugdin sa mga panooring nauukol sa mga pagbabaka at sa mga labanang sumasabog ang dugo, ibig ang pagkakapantay-pantay, datapwat sumasamba sa mga emperador, sa mga hari at sa mga prinsipe; hindi mapagpitagan sa relihiyon, ngunit iniwawaldas ang pamumuhay sa mga walang kabuluhang pag paparangalan sa mga fiesta; ang mga babae rito sa atin ay may kaugaliang matimyas, ngunit nangahahaling pagka nakakakita ng isang princesang nagpapa-ikit ng sibat ...",Showcases the character interactions that perfectly define this specific thematic element.
Pagkamapagpatuloy,7511,"Sa kagalingang palad ng mga moro, na nangagsisipaghanda na sa labanang tinutugtugan ng ""himno de Riego"", ay siyang pagkakaroon ng isang gulo.",A powerful moment highlighting the profound societal impact of this thematic struggle.
Pagkamapagpatuloy,7585,"Marahil ay ang Corresponsal ng peryodiko, na winakasan ang pagsaysay ng fiesta at ng lahat ng mga nangyari sa ganitong paraan:",Demonstrates the intricate dynamics and emotional weight tied to this particular theme.
Pagkamapagpatuloy,2861,"ang ipinaalaala ni tia Isabel;—bukod sa roo'y lalong mabuti ang bahay natin doon, at saka malapit na ang fiesta.","Highlights the pervasive, undeniable presence of this issue within the colonial setting."
Relihiyon,7411,"Nanghihinamad na napaiimbulog at nagnining sa madilim na langit ang ilang globong papel, na ipinaitaas sa pamamagitan ng aso at ng hanging pinainit.",Details the performative and heavily institutionalized aspects of colonial religious ceremonies.
Relihiyon,7422,"Mga pagpaparoo't parito, mga sigawan, mga ingayan sa pagtataka, mga halakhakan, isang huli na sa panahong ""buskapie"", isang ""reventador"" ang siyang nangagdaragdag ng kaingayan.",Shows how the friars manipulate the concept of God and salvation to maintain absolute social control.
Relihiyon,7432,Tinatanggap ng kahi't hari man ang kanyang mga lakas sa bayan at tinatanggap naman ng bayan sa Diyos ang kanyang lakas.,A critical look at the transactional nature of the church where faith is monetized through indulgences and masses.
Relihiyon,7446,Kasama rin naman ng kura ang ilang mga mamamayang ang hanap-buhay umalakbay tuwina sa mga prayle.,"Captures the deep, sometimes misguided, devotion of the natives intertwined with systemic church dominance."
Relihiyon,7450,"May mga mata at may pakinig ang lahat ng na sa escenario, liban lamang sa isa: si pari Salvi.",Highlights the stark contrast between true spiritual faith and the corrupt practices of the organized colonial church.
Kapangyarihan at Kawalang-Katarungan,7469,"Kailan man po'y nananagot ako, padre, sa lahat ng mga gawang bukal sa aking sariling kalooban,—ang isinagot ni don Filipo na yumuko ng kaunti;—datapwat hindi binibigyang pahintulot ako ng aking maliit na kapangyarihang makialam sa mga bagay na nauukol sa relihiyon.",A brutal demonstration of unchecked civil or religious authority executing unjust punishments on the defenseless.
Kapangyarihan at Kawalang-Katarungan,7503,Sa pagka't nagsuntukan ang alferez at ang ginoong babae ay hindi sila makatulog.,Showcases how those in power manipulate the law entirely to serve their own vindictive ends.
Kapangyarihan at Kawalang-Katarungan,7504,"Sabihin po ninyo sa alferez, na binigyan kami ng kapahintulutan ng Alkalde Mayor, at ""wala sino man"" sa bayang may kapangyarihan sumalangsang sa kapahintulutang ito, kahi't ang gobernadorsilyo man, na siyang tangi kong mataas na puno.",Highlights the absolute lack of recourse for ordinary citizens facing the wrath of the alferez or the friars.
Kapangyarihan at Kawalang-Katarungan,7528,Umulan ang mga bato sa pulutong ng mga kwadrilyerong naghahatid sa dalawang gwardya sibil; may isang nagyayakag na silabin ang kwartel at iihaw roon si doña Consolaciong kasama ang alferez.,"Exposes the raw, physical violence used by the ruling class to enforce their unjust dominion."
Kapangyarihan at Kawalang-Katarungan,15416,Kailangan na magkaroon ng isa upang maligtas ang karangalan ng kapangyarihan at huwag masabing tayo’y nag-ingay nang katakot-takot ng wala namang sanhi.,A scene that perfectly encapsulates the theme of power deployed without a shred of moral justice.
